verb,prompt_type,n_samples,unique_concepts_all,unique_concepts_final
deceive,definitional,15,50,25
deceive,behavioral_neutral,15,43,25
deceive,behavioral_prosocial,15,34,15
deceive,behavioral_antisocial,15,37,19
manipulate,definitional,15,42,24
manipulate,behavioral_neutral,15,35,26
manipulate,behavioral_prosocial,15,36,21
manipulate,behavioral_antisocial,15,33,20
persuade,definitional,15,40,24
persuade,behavioral_neutral,15,41,23
persuade,behavioral_prosocial,15,39,22
persuade,behavioral_antisocial,15,40,20
