verb,deceive,deceive,deceive,deceive,manipulate,manipulate,manipulate,manipulate,persuade,persuade,persuade,persuade
prompt_type,behavioral_antisocial,behavioral_neutral,behavioral_prosocial,definitional,behavioral_antisocial,behavioral_neutral,behavioral_prosocial,definitional,behavioral_antisocial,behavioral_neutral,behavioral_prosocial,definitional
concept,,,,,,,,,,,,
Apologizing,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,5.333333333333333,9.4,3.6,8.666666666666666
Capturing,9.066666666666666,7.733333333333333,5.8,0.0,13.733333333333333,15.733333333333333,8.333333333333334,12.6,10.666666666666666,6.466666666666667,4.933333333333334,0.0
Concealing,14.2,24.333333333333332,12.6,23.533333333333335,10.466666666666667,17.533333333333335,9.533333333333333,17.8,4.666666666666667,9.333333333333334,8.4,8.266666666666667
Death,6.466666666666667,0.0,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deception,24.933333333333334,25.0,23.466666666666665,24.066666666666666,22.0,15.066666666666666,19.666666666666668,16.8,20.4,19.4,19.333333333333332,20.466666666666665
DefensiveManeuver,0.0,4.866666666666666,5.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Game,9.866666666666667,5.6,13.266666666666667,3.6,9.466666666666667,7.533333333333333,13.266666666666667,0.0,7.8,4.866666666666666,9.466666666666667,0.0
Hanging,0.0,0.0,0.0,0.0,0.0,5.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0
Hijacking,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human_Other,7.933333333333334,0.0,7.266666666666667,5.133333333333334,11.266666666666667,9.066666666666666,11.266666666666667,8.4,10.4,6.533333333333333,11.6,10.8
LivestockPen,0.0,0.0,6.133333333333334,0.0,0.0,0.0,6.533333333333333,0.0,0.0,0.0,7.533333333333333,0.0
PowerSource,0.0,4.4,0.0,0.0,9.266666666666667,14.666666666666666,0.0,13.133333333333333,9.066666666666666,12.333333333333334,0.0,8.266666666666667
Predicting,18.466666666666665,12.133333333333333,24.4,8.066666666666666,15.0,10.933333333333334,22.6,8.4,24.0,22.666666666666668,26.066666666666666,21.266666666666666
Protecting,3.8,3.8,8.933333333333334,0.0,0.0,0.0,7.133333333333334,0.0,3.8,0.0,5.533333333333333,0.0
Removing,0.0,0.0,0.0,0.0,0.0,6.533333333333333,0.0,10.733333333333333,0.0,0.0,0.0,0.0
RemovingClothing,0.0,0.0,0.0,0.0,0.0,0.0,3.533333333333333,0.0,0.0,0.0,0.0,0.0
Strangling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0
SubjectiveWeakNegativeAttribute,0.0,0.0,0.0,0.0,0.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SubjectiveWeakPositiveAttribute,19.466666666666665,10.733333333333333,0.0,8.8,18.666666666666668,0.0,0.0,3.933333333333333,20.6,18.933333333333334,0.0,13.733333333333333
Suicide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.533333333333333
Supposition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.933333333333334
Sweeping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0
TellingALie,5.933333333333334,12.933333333333334,0.0,16.333333333333332,3.533333333333333,0.0,0.0,0.0,0.0,4.733333333333333,0.0,7.466666666666667
Uncovering,0.0,0.0,5.066666666666666,0.0,0.0,0.0,5.8,0.0,0.0,0.0,3.6,0.0
